measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),6,People's Republic of China,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,87.11614858459001,115.30303214573999,61.95793685169
4,YLLs (Years of Life Lost),6,People's Republic of China,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,164.02954705622,216.31207164205,117.38305275677001
4,YLLs (Years of Life Lost),6,People's Republic of China,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,271.37952293793,347.86843043116,197.54465354719
4,YLLs (Years of Life Lost),6,People's Republic of China,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,334.08794042117,426.91452828267,239.08508846563
4,YLLs (Years of Life Lost),8,Taiwan (Province of China),2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,67.53728757051,87.54375187445,51.11493916995
4,YLLs (Years of Life Lost),8,Taiwan (Province of China),2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,102.1335007944,134.72791064213,76.20655714266
4,YLLs (Years of Life Lost),8,Taiwan (Province of China),2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,152.32832918783,191.68097934935,117.16171383304001
4,YLLs (Years of Life Lost),8,Taiwan (Province of China),2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,219.73765532856,279.05662976553003,173.22438437354998
4,YLLs (Years of Life Lost),10,Kingdom of Cambodia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,180.07895084312,308.36781354184,101.29061031674
4,YLLs (Years of Life Lost),10,Kingdom of Cambodia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,342.55599492546,568.0604606251401,200.96635285535
4,YLLs (Years of Life Lost),10,Kingdom of Cambodia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,593.22206959835,945.3063513318999,353.30341839602
4,YLLs (Years of Life Lost),10,Kingdom of Cambodia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,756.20768095482,1158.83789585004,464.78712353662
4,YLLs (Years of Life Lost),7,Democratic People's Republic of Korea,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,183.00520191798,305.74093104247,99.84746700591
4,YLLs (Years of Life Lost),7,Democratic People's Republic of Korea,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,330.7725020852,558.48394694825,177.78767209768
4,YLLs (Years of Life Lost),7,Democratic People's Republic of Korea,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,539.37145246645,902.0756724016,295.26732747207
4,YLLs (Years of Life Lost),7,Democratic People's Republic of Korea,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,744.73329258455,1198.34403507051,426.5085897249
4,YLLs (Years of Life Lost),11,Republic of Indonesia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,147.67666758871,206.38965934572,108.02946165565999
4,YLLs (Years of Life Lost),11,Republic of Indonesia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,275.8745155259,371.86632916620005,205.05767123237
4,YLLs (Years of Life Lost),11,Republic of Indonesia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,474.06553229918995,639.46321347503,346.21808080727
4,YLLs (Years of Life Lost),11,Republic of Indonesia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,605.8257622842,813.20750711466,421.88601405903
4,YLLs (Years of Life Lost),13,Malaysia,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,110.58596570597001,166.62446110647,69.94254430438001
4,YLLs (Years of Life Lost),13,Malaysia,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,246.58677087091002,366.94557188608,154.42764649699
4,YLLs (Years of Life Lost),13,Malaysia,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,460.34477260088,660.35742713464,282.73826566775
4,YLLs (Years of Life Lost),13,Malaysia,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,614.05232634568,875.40217868436,397.01939843713
4,YLLs (Years of Life Lost),12,Lao People's Democratic Republic,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,193.91799210221,313.42757814486,104.35760802683001
4,YLLs (Years of Life Lost),12,Lao People's Democratic Republic,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,340.94426567476,549.49305272973,185.12841369865
4,YLLs (Years of Life Lost),12,Lao People's Democratic Republic,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,558.9563453011,891.5057275285101,318.44589963624
4,YLLs (Years of Life Lost),12,Lao People's Democratic Republic,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,693.9896444797599,1089.66009983666,436.83173840077
4,YLLs (Years of Life Lost),15,Republic of the Union of Myanmar,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,169.72701346118,277.51412030135003,94.04335325618
4,YLLs (Years of Life Lost),15,Republic of the Union of Myanmar,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,296.48271372389,495.71297519559,161.44432505493
4,YLLs (Years of Life Lost),15,Republic of the Union of Myanmar,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,471.26284841571,771.7126103676701,269.2141906818
4,YLLs (Years of Life Lost),15,Republic of the Union of Myanmar,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,570.02669453228,889.1319638666799,349.2576031744
4,YLLs (Years of Life Lost),17,Democratic Socialist Republic of Sri Lanka,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,46.070084220700004,77.57787035737,24.719848217659997
4,YLLs (Years of Life Lost),17,Democratic Socialist Republic of Sri Lanka,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,90.57083580111001,151.32877488254,51.141916499880004
4,YLLs (Years of Life Lost),17,Democratic Socialist Republic of Sri Lanka,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,157.47256580903002,245.81176593953003,93.03961125676
4,YLLs (Years of Life Lost),17,Democratic Socialist Republic of Sri Lanka,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,224.69837465549998,349.44046768675,139.07515966407
4,YLLs (Years of Life Lost),19,Democratic Republic of Timor-Leste,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,124.33972639324,210.65450022192002,66.5671101131
4,YLLs (Years of Life Lost),19,Democratic Republic of Timor-Leste,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,219.58109696619002,364.44168502203,123.11772387343001
4,YLLs (Years of Life Lost),19,Democratic Republic of Timor-Leste,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,405.95820327328,672.37792814538,232.10611416104
4,YLLs (Years of Life Lost),19,Democratic Republic of Timor-Leste,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,594.7776723542,944.05604626191,357.16337443765
4,YLLs (Years of Life Lost),14,Republic of Maldives,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,42.550357738189994,63.74000109481,25.98510073789
4,YLLs (Years of Life Lost),14,Republic of Maldives,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,78.77664476538,121.72523880693001,48.36036689446
4,YLLs (Years of Life Lost),14,Republic of Maldives,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,127.05191811726,192.33787737292,80.86800253399
4,YLLs (Years of Life Lost),14,Republic of Maldives,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,162.4979696005,234.28939971887002,105.37506015622999
4,YLLs (Years of Life Lost),16,Republic of the Philippines,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,166.09812317780998,194.92491012181,140.70265616573
4,YLLs (Years of Life Lost),16,Republic of the Philippines,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,305.71531284781,352.27590471369,260.70135193001
4,YLLs (Years of Life Lost),16,Republic of the Philippines,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,480.50130347204,548.85122426161,409.07230876661004
4,YLLs (Years of Life Lost),16,Republic of the Philippines,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,602.76424871327,696.82452270116,510.00503437534
4,YLLs (Years of Life Lost),18,Kingdom of Thailand,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,234.78052454724,342.02793834659997,156.44726393812
4,YLLs (Years of Life Lost),18,Kingdom of Thailand,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,369.22163332691997,553.56906431976,236.32328625288
4,YLLs (Years of Life Lost),18,Kingdom of Thailand,2,Female,13,40-44 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,507.3359169995,735.4367040352901,338.53044103758003
4,YLLs (Years of Life Lost),18,Kingdom of Thailand,2,Female,14,45-49 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,564.9386676832,788.76454694186,393.44328806243
4,YLLs (Years of Life Lost),23,Republic of Kiribati,2,Female,11,30-34 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,962.63952056265,1586.53617347184,564.25135956716
4,YLLs (Years of Life Lost),23,Republic of Kiribati,2,Female,12,35-39 years,432,Cervical cancer,169,All risk factors,3,Rate,2019,1750.6905624361298,2874.10738021843,1001.5465838661501
