measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,43,Republic of Albania,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,13.37014832327,21.127488205149998,7.88847053658
6,Incidence,43,Republic of Albania,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,17.349838483550002,29.000149131709996,10.14282275567
6,Incidence,43,Republic of Albania,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,20.92540070372,32.33126805522,12.78177970223
6,Incidence,43,Republic of Albania,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,21.01019814636,31.787332709429997,13.07315631512
6,Incidence,4,"Southeast Asia, East Asia, and Oceania",2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,12.63860280144,15.576939265330001,10.08655270145
6,Incidence,4,"Southeast Asia, East Asia, and Oceania",2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,20.77774622503,25.19543019855,16.77113423526
6,Incidence,4,"Southeast Asia, East Asia, and Oceania",2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,29.27392881943,34.80853496076,23.59847485994
6,Incidence,4,"Southeast Asia, East Asia, and Oceania",2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,31.557009068070002,37.739915829649995,25.48434813178
6,Incidence,11,Republic of Indonesia,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,10.56747163128,14.925363268320002,7.7119039334699995
6,Incidence,11,Republic of Indonesia,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,18.11792436841,24.62196932833,13.494476262440001
6,Incidence,11,Republic of Indonesia,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,27.739466029560003,37.016517796150005,20.22504409855
6,Incidence,11,Republic of Indonesia,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,32.44676160075,43.64711749761,22.38474633717
6,Incidence,27,Independent State of Samoa,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,32.88057116465,54.51885951185999,17.37549213343
6,Incidence,27,Independent State of Samoa,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,45.21466185507,77.98109191594999,23.66820548027
6,Incidence,27,Independent State of Samoa,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,62.76430111811,102.00875672856,35.02962717791
6,Incidence,27,Independent State of Samoa,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,60.47618116069,98.56677880404,35.552049852180005
6,Incidence,20,Socialist Republic of Viet Nam,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,9.64945399094,15.8689978972,5.56909049333
6,Incidence,20,Socialist Republic of Viet Nam,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,17.822216528290003,28.5764565318,9.97361969686
6,Incidence,20,Socialist Republic of Viet Nam,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,27.68936468558,45.20796381409,16.44078480152
6,Incidence,20,Socialist Republic of Viet Nam,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,34.41024800651,52.84087101026,20.32207549787
6,Incidence,13,Malaysia,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,11.15924657157,17.14443189671,6.93687706909
6,Incidence,13,Malaysia,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,22.20427632877,33.05896470428,13.55538929743
6,Incidence,13,Malaysia,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,35.96333323991,52.18316265328,22.35060200289
6,Incidence,13,Malaysia,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,42.51272881938,61.552405146039995,27.91179411852
6,Incidence,6,People's Republic of China,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,12.71208992171,16.695565092909998,8.97182509931
6,Incidence,6,People's Republic of China,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,20.7660046235,27.45784369999,14.64269897165
6,Incidence,6,People's Republic of China,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,28.7951673291,36.951763989199996,21.14857577239
6,Incidence,6,People's Republic of China,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,30.268876456710004,38.61759038086,21.60249826338
6,Incidence,29,Kingdom of Tonga,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,31.94279920758,53.577270927739995,16.91038984942
6,Incidence,29,Kingdom of Tonga,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,49.02015299583,80.81604868341,26.84950816702
6,Incidence,29,Kingdom of Tonga,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,77.66773770195,124.55739006413,45.20605036087
6,Incidence,29,Kingdom of Tonga,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,73.61876391602,113.65285717591,44.7307457083
6,Incidence,40,Turkmenistan,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,19.394532498420002,26.2517502023,13.968233425900001
6,Incidence,40,Turkmenistan,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,25.01231851456,32.95317172211,18.42938641563
6,Incidence,40,Turkmenistan,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,37.57337086942,50.09125065277001,27.842709435809997
6,Incidence,40,Turkmenistan,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,42.868890819760004,57.62938667667,31.32858919474
6,Incidence,8,Taiwan (Province of China),2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,11.31944083097,15.37401756835,8.10971761823
6,Incidence,8,Taiwan (Province of China),2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,15.174340977910001,20.64034683412,10.845395829820001
6,Incidence,8,Taiwan (Province of China),2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,19.3585753145,25.762576672980003,14.208452291530001
6,Incidence,8,Taiwan (Province of China),2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,24.02217329845,31.00089494449,17.819184482300003
6,Incidence,45,Republic of Bulgaria,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,29.055219377569998,37.44803463141,21.670805322379998
6,Incidence,45,Republic of Bulgaria,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,46.75252324653,64.60385223661,32.99510427101
6,Incidence,45,Republic of Bulgaria,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,58.11072225479,73.97074927676,44.44933349755
6,Incidence,45,Republic of Bulgaria,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,61.399777654059996,76.74856863717,47.64732185867
6,Incidence,36,Republic of Kazakhstan,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,20.063884618550002,24.41966208617,16.15566565943
6,Incidence,36,Republic of Kazakhstan,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,39.00081992399,47.176970432640005,32.31848502936
6,Incidence,36,Republic of Kazakhstan,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,48.896279942499994,58.435609937669994,40.86320127992
6,Incidence,36,Republic of Kazakhstan,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,50.03494724412,61.03444924141,40.77508998856
6,Incidence,15,Republic of the Union of Myanmar,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,11.48791648738,19.26853547938,6.21169630066
6,Incidence,15,Republic of the Union of Myanmar,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,18.37864891993,31.21406381539,9.97664101661
6,Incidence,15,Republic of the Union of Myanmar,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,26.18607801476,42.9038602965,14.76894780054
6,Incidence,15,Republic of the Union of Myanmar,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,29.101518421659996,45.4312269103,17.58224332998
6,Incidence,22,Republic of Fiji,2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,39.58790301991,65.18620806645,22.03625612223
6,Incidence,22,Republic of Fiji,2,Female,12,35-39 years,432,Cervical cancer,3,Rate,2019,59.57852273547,95.08157913922,33.92280921519
6,Incidence,22,Republic of Fiji,2,Female,13,40-44 years,432,Cervical cancer,3,Rate,2019,86.42156624457,131.36386177206,50.25655419433
6,Incidence,22,Republic of Fiji,2,Female,14,45-49 years,432,Cervical cancer,3,Rate,2019,86.42650927772999,133.06426589485,52.11375364127
6,Incidence,31,"Central Europe, Eastern Europe, and Central Asia",2,Female,11,30-34 years,432,Cervical cancer,3,Rate,2019,20.947186981599998,22.09429104191,20.05685600784
